Eindhoven 	51.441643	5.4697223
Torun 	53.01379	18.598444
Rennes 	48.113476	-1.675708
Debrecen 	47.529972	21.639357
Padua 	45.406433	11.876761
Oradea 	47.072224	21.92111
Vantaa 	60.28549	24.82192
Oviedo 	43.3603	-5.844781
Erfurt 	50.984768	11.02988
Aberdeen 	57.149715	-2.094278
Taranto 	40.465794	17.247778
Charleroi 	50.41081	4.444643
Gliwice 	50.29449	18.671381
Sabadell 	41.54862	2.1074207
Terrassa 	41.56095	2.0104399
Rostock 	54.08342	12.100429
Bytom 	50.34838	18.915718
Móstoles 	51.11904	-2.9797583
Pamplona 	42.81799	-1.6441835
Hagen 	51.367077	7.463284
Dudley 	52.512257	-2.081112
Kassel 	51.31271	9.479746
Mainz 	49.992863	8.247252
Zabrze 	50.32493	18.785719
Le Havre 	49.49437	0.107929
Newcastle upon Tyne 	54.978252	-1.61778
Northampton 	52.240477	-0.902656
Linz 	48.30694	14.28583
Cartagena 	37.60565	-0.9912944
Brescia 	45.541187	10.219443
Klaipeda 	55.710804	21.131807
Reims 	49.258327	4.031696
Jerez de la Frontera 	36.68656	-6.1371727
Portsmouth 	50.816666	-1.0833333
Liège	26.887697	100.22043
Luton 	51.87867	-0.4200255
Preston 	53.763203	-2.70309
Santander 	43.46096	-3.8079336
Milton Keynes 	52.0386	-0.757072
Hamm 	51.67386	7.8159814
Donostia 	43.320812	-1.9844474
Tilburg 	51.586296	5.0791273
Miskolc 	48.104385	20.791357
Reggio Calabria 	38.1113	15.647291
Saint-Étienne 	50.43084	4.774183
Amadora 	38.75776	-9.224547
Fuenlabrada 	40.283875	-3.8003287
Alcalá de Henares 	40.481663	-3.3641362
Saarbrücken 	0	0
Turku 	60.44925	22.25924
Vila Nova de Gaia 	41.123875	-8.611785
Sunderland 	54.906868	-1.383801
Bielsko-Biala 	49.822376	19.058384
Bacau 	46.57129	26.92517
Split 	43.508133	16.440193
Modena 	44.648838	10.920087
Leganés 	9.189823	167.4243
Norwich 	52.630886	1.297355
Pilsen 	49.738426	13.37362
Olsztyn 	53.778423	20.48012
Prato 	43.877705	11.102228
Castellon de la Plana 	39.98607	-0.0360242
Walsall 	52.586212	-1.982919
Herne 	51.536896	7.200915
Piraeus 	35.145447	33.352535
Braga 	41.55178	-8.418423
Mülheim 	0	0
Burgos 	42.340893	-3.6997623
Bournemouth 	50.719166	-1.880769
Pitesti 	44.860554	24.867777
Arad 	46.166668	21.316668
Groningen 	53.219383	6.5665016
Patras 	38.24664	21.734573
Cagliari 	39.223843	9.121661
Osnabrück 	0	0
Solingen 	51.170414	7.0542574
Parma 	44.799255	10.33816
Ludwigshafen 	49.49081	8.414798
Szeged 	46.253616	20.146135
Leverkusen 	51.045925	7.0192194
Toulon 	43.12423	5.928
Southend on Sea 	51.545925	0.7077123
Rousse 	43.84958	25.955229
Rzeszów 	50.040947	21.99928
Pécs 	39.56441	16.252214
Oldenburg 	53.14774	8.210603
Odense 	55.403755	10.40237
Getafe 	40.304977	-3.7326772
Livorno 	43.548473	10.310568
Salamanca 	40.96497	-5.6630254
Swindon 	51.555775	-1.7797176
Foggia 	41.4622	15.54463
Sibiu 	45.78744	24.14326
Grenoble 	45.18853	5.724524
Neuss 	51.204197	6.687951
Angers 	47.47842	-0.563166
Nijmegen 	51.84287	5.854622
Salzburg 	47.80949	13.05501
Dijon 	47.32205	5.04148
Brest 	48.390392	-4.486076
Alcorcon 	40.349117	-3.828811
Perugia 	43.110718	12.390828
Coimbra 	40.20657	-8.414618
Ruda Slaska 	50.25583	18.85557
Potsdam 	52.394188	13.072691
Logroño 	0	0
Haarlem 	52.383625	4.635956
Stara Zagora 	42.423916	25.624903
Huddersfield 	53.64579	-1.785035
Le Mans 	48.00611	0.199556
Târgu Mures 	46.557148	24.575727
Huelva 	37.257153	-6.949522
Poole 	50.71505	-1.987248
Oulu 	65.012054	25.465187
Paderborn 	51.71892	8.757509
Dundee 	56.462017	-2.970721
Oxford 	51.751724	-1.255285
Heidelberg 	49.398754	8.672434
Middlesbrough 	54.574226	-1.234956
Blackpool 	53.821274	-3.055453
Rybnik 	50.102173	18.546286
Reggio Emilia 	44.698994	10.629686
Darmstadt 	49.877647	8.651762
Arnhem 	51.985104	5.89873
Heraklion 	35.338734	25.144213
Newport 	51.584152	-2.997664
Rijeka 	45.327065	14.442176
Bolton 	53.584442	-2.428619
Baia Mare 	47.666668	23.583334
Ipswich 	52.056736	1.14822
Breda 	51.58307	4.7769504
Telford 	52.678417	-2.445258
Salerno 	40.68244	14.768096
York 	53.96229	-1.0818995
Peristeri 	38.01097	23.688744
Clermont-Ferrand 	45.77722	3.087025
West Bromwich 	52.517666	-1.995159
Apeldoorn 	52.21116	5.969923
Badajoz 	38.878548	-6.970183
Peterborough 	52.5695	-0.2405299
Cádiz 	49.064663	3.96844
Stockport 	53.406754	-2.158843
Leon 	42.599894	-5.571733
Amiens 	49.894066	2.295753
Ravenna 	44.41836	12.203529
Brighton 	50.82253	-0.137163
Aix-en-Provence 	43.529743	5.447427
Limoges 	45.83362	1.261105
Würzburg 	53.62419	7.9053216
Nimes 	43.836699	4.360054
Tours 	47.394142	0.68484
Buzau 	45.14806	26.82334
Jyväskylä 	0	0
Tychy 	50.1218	19.020002
Saint-Denis 	48.93618	2.357443
Dabrowa Górnicza 	50.319416	19.186085
Ferrara 	44.83758	11.611696
Enschede 	52.22154	6.893662
Larissa 	39.639023	22.419125
Regensburg 	49.01454	12.100856
Šiauliai 	55.932076	23.314219
Opole 	50.67043	17.924438
Uppsala 	59.858562	17.638927
Gyor 	47.68405	17.635101
Walbrzych 	50.784008	16.284355
Plock 	52.546345	19.706537
Elblag 	54.156063	19.40449
Slough 	51.51054	-0.5950406
Gorzów Wielkopolski 	54.484303	18.541588
Amersfoort 	52.156113	5.3878264
Villeurbanne 	45.771942	4.890171
Metz 	49.119667	6.176905
Siracusa 	37.075474	15.286586
Gloucester 	51.864246	-2.238156
Göttingen 	48.951717	8.574213
Recklinghausen 	51.593998	7.2082295
Heilbronn 	49.142693	9.210879
Aalborg 	57.028812	9.917771
Ingolstadt 	48.766537	11.425755
Wolfsburg 	52.42265	10.786546
Watford 	51.65649	-0.39032
Preston 	53.763203	-2.70309
Agualva-Cacém 	0	0
Ulm 	48.404297	9.979349
Wloclawek 	52.64833	19.067736
Monza 	45.587185	9.272215
Offenbach am Main 	50.095634	8.776084
Cork 	51.896893	-8.486316
Bottrop 	51.529087	6.944689
Maribor 	46.5574	15.645982
Santa Coloma de Gramenet 	41.451073	2.208978
Pforzheim 	48.89264	8.693293
Latina 	41.467567	12.903597
Dordrecht 	51.797386	4.673479
Pleven 	43.40824	24.620304
Mataró 	22.708471	72.6639
Zielona Góra 	0	0
Tarnów 	43.92644	1.9881527
Leiden 	52.16032	4.493926
Innsbruck 	47.26921	11.404102
Besançon 	0	0
Maastricht 	50.851368	5.6909723
Bruges 	51.21084	3.2248693
