20020701	1
20020702	2
20020703	0
20020704	0
20020705	0
20020706	0
20020707	0
20020708	40
20020709	68
20020710	55
20020711	65
20020712	118
20020713	0
20020714	0
20020715	184
20020716	149
20020717	155
20020718	179
20020719	190
20020720	0
20020721	0
20020722	282
20020723	233
20020724	233
20020725	171
20020726	200
20020727	0
20020728	0
20020729	272
20020730	267
20020731	192
20020801	240
20020802	271
20020803	0
20020804	0
20020805	233
20020806	273
20020807	302
20020808	273
20020809	382
20020810	1
20020811	0
20020812	425
20020813	461
20020814	658
20020815	539
20020816	351
20020817	12
20020818	0
20020819	446
20020820	523
20020821	501
20020822	522
20020823	457
20020824	8
20020825	0
20020826	470
20020827	456
20020828	432
20020829	638
20020830	342
20020831	17
20020901	0
20020902	21
20020903	512
20020904	550
20020905	579
20020906	465
20020907	2
20020908	0
20020909	484
20020910	658
20020911	492
20020912	518
20020913	584
20020914	9
20020915	0
20020916	416
20020917	728
20020918	816
20020919	665
20020920	545
20020921	6
20020922	0
20020923	623
20020924	587
20020925	536
20020926	593
20020927	707
20020928	0
20020929	5
20020930	837
20021001	716
20021002	646
20021003	667
20021004	786
20021005	52
20021006	0
20021007	675
20021008	797
20021009	787
20021010	795
20021011	755
20021012	16
20021013	0
20021014	24
20021015	775
20021016	694
20021017	772
20021018	771
20021019	55
20021020	35
20021021	806
20021022	802
20021023	857
20021024	1002
20021025	728
20021026	112
20021027	28
20021028	856
20021029	1051
20021030	905
20021031	9110
20021101	8776
20021102	24598
20021103	24355
20021104	904
20021105	12649
20021106	822
20021107	791
20021108	37998
20021109	11356
20021110	0
20021111	12645
20021112	2300
20021113	764
20021114	983
20021115	440
20021116	179
20021117	40
20021118	960
20021119	12892
20021120	13282
20021121	12459
20021122	986
20021123	25755
20021124	509
20021125	15535
20021126	2643
20021127	62244
20021128	0
20021129	5
20021130	5
20021201	14277
20021202	754
20021203	807
20021204	877
20021205	912
20021206	962
20021207	11973
20021208	4
20021209	13873
20021210	1304
20021211	25336
20021212	976
20021213	10523
20021214	36916
20021215	6
20021216	12736
20021217	22617
20021218	10815
20021219	12901
20021220	35214
20021221	33971
20021222	0
20021223	787
20021224	509
20021225	10
20021226	32
20021227	0
20021228	1
20021229	0
20021230	22
20021231	13
20030101	8
20030102	708
20030103	622
20030104	65
20030105	0
20030106	803
20030107	940
20030108	896
20030109	946
20030110	926
20030111	142
20030112	0
20030113	996
20030114	1449
20030115	1079
20030116	1084
20030117	871
20030118	22
20030119	1
20030120	99
20030121	1207
20030122	1225
20030123	1025
20030124	854
20030125	84
20030126	2
20030127	1078
20030128	882
20030129	943
20030130	1304
20030131	1054
20030201	107
20030202	2
20030203	1004
20030204	985
20030205	1269
20030206	1090
20030207	817
20030208	91
20030209	7
20030210	958
20030211	1311
20030212	904
20030213	1074
20030214	889
20030215	0
20030216	0
20030217	30
20030218	165
20030219	1054
20030220	1419
20030221	900
20030222	108
20030223	17
20030224	1134
20030225	1602
20030226	872
20030227	969
20030228	875
20030301	162
20030302	7
20030303	988
20030304	1351
20030305	1005
20030306	1008
20030307	1044
20030308	105
20030309	5
20030310	1017
20030311	1214
20030312	1243
20030313	1006
20030314	1093
20030315	130
20030316	1
20030317	1223
20030318	1137
20030319	1200
20030320	979
20030321	865
20030322	218
20030323	0
20030324	950
20030325	2172
20030326	1223
20030327	1180
20030328	1318
20030329	264
20030330	20
20030331	1193
20030401	1196
20030402	1110
20030403	1078
20030404	952
20030405	955
20030406	47
20030407	1274
20030408	1453
20030409	934
20030410	1035
20030411	1046
20030412	208
20030413	57
20030414	1074
20030415	1052
20030416	1407
20030417	1025
20030418	971
20030419	27
20030420	0
20030421	1272
20030422	1412
20030423	975
20030424	792
20030425	894
20030426	64
20030427	0
20030428	1164
20030429	1537
20030430	1043
20030501	1143
20030502	895
20030503	71
20030504	1
20030505	1072
20030506	1083
20030507	1349
20030508	941
20030509	798
20030510	17
20030511	0
20030512	983
20030513	1119
20030514	1122
20030515	934
20030516	767
20030517	44
20030518	20
20030519	977
20030520	1712
20030521	986
20030522	835
20030523	690
20030524	40
20030525	19
20030526	13
20030527	1236
20030528	986
20030529	890
20030530	689
20030531	42
20030601	8
20030602	819
20030603	1520
20030604	925
20030605	917
20030606	458
20030607	5
20030608	30
20030609	750
20030610	918
20030611	1254
20030612	858
20030613	662
20030614	12
20030615	46
20030616	1056
20030617	1037
20030618	1383
20030619	934
20030620	777
20030621	13
20030622	8
20030623	884
20030624	1325
20030625	834
20030626	775
20030627	840
20030628	20
20030629	10
20030630	572
20030701	1396
20030702	942
20030703	701
20030704	12
20030705	1
20030706	1
20030707	755
20030708	1048
20030709	1073
20030710	853
20030711	2540
20030712	427
20030713	168
20030714	808
20030715	1250
20030716	907
20030717	1113
20030718	887
20030719	42
20030720	2
20030721	981
20030722	1671
20030723	1343
20030724	1039
20030725	877
20030726	10
20030727	2
20030728	1073
20030729	1701
20030730	1170
20030731	1220
20030801	698
20030802	29
20030803	0
